id,username,title,category,topic,description,link,userid
5657897,adamfishercox,MacBook Pro Blows Up While Surfing Digg.,Technology,Apple,Digg user (ibayliss) was surprised yesterday when his MacBook Pro exploded as he was surfing digg.,http://www.appletell.com/apple/comment/exploding-macs-are-back/,1
5396285,adamfishercox,Macintosh Plus - 22 Years Later,Technology,Apple,A bootup of a Macintosh Plus 22 years later in 2008.,http://www.appletell.com/apple/comment/macintosh-plus-22-years-later/,1
5284450,adamfishercox,"Video Review: ScreenFlow, the new best Screen Capture App",Technology,Apple,A comprehensive video review of the best screen capture application on the market.,http://www.appletell.com/apple/comment/video-screenflow-the-new-best-screen-capture-app/,1
5213644,adamfishercox,10.5.2 released,Technology,Apple,Mac OS X 10.5.2 has been released here is a list of the most significant features and fixes.,http://www.appletell.com/apple/comment/1052-released/,1
5185156,adamfishercox,Photoshop Elements 6 First Look: The Interface,Technology,Apple,The first part of a full in depth review of Adobe's new Photoshop Elements 6. Exclusively at Appletell.,http://www.appletell.com/apple/comment/photoshop-elements-6-first-look-the-interface/,1
5661145,joerogan,"Jim Cramer Cries Over Harvard Pal, Spitzer",World & Business,Political Opinion,"Hunched over in his chair, Cramer wrestled with his emotions as he talked not just about Spitzer, but about the governor’s wife, Silda Wall Spitzer, whom Cramer also knows from their Harvard Law School days in the early 1980s",http://today.msnbc.msn.com/id/23591111/,2
5660872,joerogan,Meet the Woman at the Center of Spitzer’s Downfall,World & Business,Political News,"She left a broken home on the Jersey Shore at 17 and came to New York City to work the nightclubs as a rhythm and blues singer. Now, at 22, she is the unwitting, and as yet unseen, star of the seamy drama that is the downfall of Gov. Eliot Spitzer of New York.",http://www.nytimes.com/2008/03/13/nyregion/12cnd-kristen.html?_r=1&oref=slogin&pagewanted=print,2
5656569,joerogan,Mary Ann in trouble thanks to Mary Jane,Entertainment,Celebrity,I hate it when people deny that it was theirs. Just say you got caught and move on. I haven't met a single celebrity that didn't do drugs in one form or another.,http://www.eonline.com/news/article/index.jsp?uuid=993388f1-fa5c-4f30-9ce2-b6e79de5d2f3&entry=index,2
5656271,joerogan,I'm Giving Away My Isolation Tank!,Technology,Gadgets,"One of the coolest things from the psychedelic movement of the 60’s that for some reason never really caught on is the isolation tank. It’s an amazing invention by the late, great psychonaut John Lilly. He was trying to find a way to isolate the mind & thoughts to be completely independent of the distraction of sensory input from the body.",http://blog.joerogan.net/archives/225,2
5657885,jaxomlotus,Master photoshopper makes futuristic flying cars,Technology,Design,"At Aviary, we like to ask the hard-hitting questions most journalists shy away from. Most importantly: We can put man on the moon, but we don't have frigging flying cars yet?! Luckily, we don't just identify the problems - we also solve them.",http://a.viary.com/blog/posts/modding-future-flying-cars-in-aviary,3
5622071,jaxomlotus,Kneel before Toiletron!,Technology,Design,Video of Photoshopper creating a transformer out of toilet parts.,http://a.viary.com/blog/posts/making-toiletron-in-aviary,3
5545720,jaxomlotus,Is this the perfect celebrity?,Technology,Design,"Video of master-photoshopper merging Catherine Zeta-Jones, Charlize Theron, Angelina Jolie and Keira Knightly. I dunno... I'm still partial to Scarlett Johansen.",http://a.viary.com/blog/posts/ultimate-celebrity-in-aviary,3
5442326,jaxomlotus,First look: Adobe illustrator-like Online Vector Editor,Technology,Design,"First sneak peak video of Aviary's new vector editor, completely based in the browser and on AIR.",http://a.viary.com/blog/posts/aviary-raven-vector-editing-in-your-browser-sneak-peak,3
5359809,jaxomlotus,Incredible photos of cyborg frog - NOT photoshopped!,Technology,Design,"(because it was made in A.viary.com, an online image editor).",http://a.viary.com/imagedetail?fguid=852cd6ce-31f1-102b-844c-0030488e168c,3
5668459,globaldigger,We are not Racists! :) (PIC),Offbeat,Pets & Animals,A kiss and makeup,http://www.flickr.com/photos/54832979@N00/785602772/,4
5665482,globaldigger,Remembering the Lost Features of Google...Nice one,Technology,Software,"Google created tons of products in the past. And some of them, they removed again after finding that they didn’t work, required too many resources, didn’t take off, or were overshadowed by legal concerns. Here are some of the “lost” Google services and features.",http://blogoscoped.com/archive/2008-03-13-n25.html,4
5665398,globaldigger,Aids for increasing GENUINE personal productivity,Lifestyle,Educational,The real keys to increasing productivity are creativity and discipline,http://www.lifehack.org/articles/productivity/where-are-the-aids-for-increasing-genuine-personal-productivity.html,4
5656587,globaldigger,What’s This “Linux” Thing and Why Should I Try It?,Technology,Linux/Unix,"very useful article,,,certainly",http://www.makeuseof.com/tag/whats-this-linux-thing-and-why-should-i-try-it/,4
5656165,globaldigger,Eiffel Tower within your fingers (PIC),Lifestyle,Travel & Places,Nice photography,http://www.flickr.com/photos/87919923@N00/346563918/sizes/o,4
5667568,MakiMaki,MPAA boss: Net Neutrality Would Cramp our P2P Snooping Plans,Technology,Tech Industry News,"Content owners are in a curious position: though certainly not wanting to put themselves in a place where they are at the mercy of their distributors (increasingly, ISPs), TV and movie companies continue to oppose network neutrality. The reason isn't hard to find, either.",http://arstechnica.com/news.ars/post/20080313-mpaa-boss-net-neutrality-would-cramp-our-p2p-snooping-plans.html,5
5666474,MakiMaki,Microsoft Could Pose Patent Threat to GPL-licensed Software,Technology,Microsoft,"The Software Freedom Law Center, which provides legal representation and free consulting services to open source software developers, has issued a statement declaring that Microsoft's Open Specification Promise does not provide adequate assurance that GPL-licensed implementations of the Office Open XML format will be free of patent liability.",http://arstechnica.com/news.ars/post/20080313-sflc-ooxml-could-poses-patent-threat-to-gpl-licensed-software.html,5
5666409,MakiMaki,Bush: Telecoms Should Be Thanked For Their Patriotic Service,World & Business,Political News,"Today, all three networks carried President Bush’s address to the American public bashing the House’s compromise wiretapping legislation. During the speech, Bush once again criticized the American public for failing to fully appreciate the patriotic sacrifices of the nation’s telecoms.",http://thinkprogress.org/2008/03/13/bush-thank-telecoms,5
5665730,MakiMaki,Study: Americans Are Less Aware of What is Going on in Iraq,World & Business,Political News,"Twenty-eight percent of the public is aware that nearly 4,000 U.S. personnel have died in Iraq over the past five years, while nearly half thinks the death tally is 3,000 or fewer and 23 percent think it is higher, according to an opinion survey released yesterday.",http://www.washingtonpost.com/wp-dyn/content/article/2008/03/12/AR2008031203706.html?hpid=topnews,5
5665456,MakiMaki,Christoper Walken Stares Into Your Soul...and Pierces it,Offbeat,People,A big picture of Christoper Walken Staring Into Your eyes while a brooding piano piece plays in the background (turn up your audio for maximum effect).,http://walkenstares.ytmnd.com/,5
5660472,WayoftheShaman,FINALLY: Keith Olbermann rips Hillary to shreds,World & Business,Political Opinion,"""But in fact, senator, you are now campaigning as if Barack Obama were the Democrat and you were the Republican.""",http://youtube.com/watch?v=xtAja20kTCA,6
5391162,WayoftheShaman,Personal assistant needed ASAP,Offbeat,People,"""You need to be open to some play time with the boss.""",http://washingtondc.craigslist.org/doc/adg/583943885.html,6
840151,WayoftheShaman,Macacas for Allen campaign ad,World & Business,Political News,Watch this ad.  Support our senator.,http://youtube.com/watch?v=0sY0wUHsWNU,6
5657103,indianballer24,Bill Gates to Congress: Let us hire more foreigners - CNET N,Gaming,Gaming Industry News,Microsoft Chairman Bill Gates urged Congress to commit to increased visa caps and greater investments in research and education during an appearance before Congress.,http://www.news.com/8301-10784_3-9892046-7.html?tag=nefd.lede,7
5657005,indianballer24,Obama's lead over Clinton is wider than ever.,World & Business,US Elections 2008,Sen. Barack Obama widened his lead over Sen. Hillary Clinton in the overall delegate count by picking up delegates in Mississippi and Texas on Tuesday.,http://www.cnn.com/2008/POLITICS/03/12/dems.delegates/index.html?iref=mpstoryview,7
5315734,indianballer24,Adventurer seeks more solar plane funds,Offbeat,Odd Stuff,"Swiss adventurer Bertrand Piccard said Monday he is confident he can fly a solar-powered airplane on the first round-the-world trip of its kind, even though he needs more money to build the craft.",http://www.msnbc.msn.com/id/23226113/,7
5315727,indianballer24,Some Pakistani women barred from voting,World & Business,World News,Leaders in some Pakistani villages decided women would not have a say in selecting the national and provincial lawmakers.,http://www.msnbc.msn.com/id/23224831/,7
5314689,indianballer24,Teutonic Terrorcycle,Offbeat,Odd Stuff,"A German motorcycle craftsman has created ""Satte Literschüssel,""* a beautifully barbaric beast of bike powered by a tractor engine, sporting metal-banded ash forks and what appears to be a shovel for a seat. My only question: how would one steer...",http://gadgets.boingboing.net/2008/02/18/teutonic-terrorcycle.html,7
5655706,skinkaid,Ferraro steps down from Clinton campaign,World & Business,US Elections 2008,"""I am stepping down from your finance committee so I can speak for myself and you can continue to speak for yourself about what is at stake in this campaign,"" Ferraro wrote in a letter to Clinton.",http://www.cnn.com/2008/POLITICS/03/12/ferraro.comments/index.html,8
5260917,skinkaid,"Hillary ""Do as I say, not as I do"" Clinton",World & Business,Political News,"In a speech that offered no solutions, Hillary Clinton criticized Barack Obama for making speeches that offered no solutions.",http://news.yahoo.com/s/nm/20080214/pl_nm/usa_politics1_dc_23;_ylt=AiYV6Dsa2Vc.OXoLyVfXW1AE1vAI,8
3713143,skinkaid,Can the Digg effect catch this pedophile?,World & Business,World News,Interpol's looking for this pedophile- let's see if we can put him behind bars in the next 48 hours.,http://www.interpol.int/Public/THB/vico/Default.asp,8
2271110,skinkaid,If aliens opened an internet shop...,Technology,Hardware,Need a Water Vortex Magnetizer or a GB-4000 Frequency Generator? How about an Advanced Bio-Photon Analyzer or Violet Ray 2007 Pro? Great deals on Crystal Harmonizers too! WTF???,http://www.quantumbalancing.com/,8
5669380,stejules,And Nerds Became Kings: Yahoo! to Announce Semantic Web Supp,Technology,Tech Industry News,"What Does This Mean?Here's one example of what that could mean: Today, a web service might work very hard to scour the internet to discover all the book reviews written on various sites, by friends of mine, who live in Europe. That would be so hard that no one would probably try it.",http://www.readwriteweb.com/archives/yahoo_supports_semantic_web.php,9
5668483,stejules,Trick Out Your iPhone with These Smart Playlists,Technology,Apple,"As I mentioned previously, i received an iPhone for this past Christmas. While I really love it, having to go from a 60gb iPod which held all of my music to having only 8gb of space took some getting used to. I started out by hand-picking various albums and tracks and changing the contents each night in preparation for the next day.",http://blog.crankingwidgets.com/2008/02/28/iphone-playlists/,9
5667573,stejules,Chuck at Pop Labs - Social Media Addiction Rap,Entertainment,Music,"Another new media rap from Chuck at Pop Labs. This time he raps about social media tools like Myspace, Twitter and Virb.",http://uk.youtube.com/watch?v=mwAjur3_08Y,9
5663193,stejules,Facebook Gold Rush? Why Developers n Brands Aren't Connected,Technology,Tech Industry News,"In most stories about Facebook Platform development, there's a depressing footnote - sure, applications are popular, but very few of them make significant profits. The New York Times famously compared Facebook's economy to the San Francisco Gold Rush, describing a long line of developers searching for a short supply of gold.",http://www.insidefacebook.com/2008/03/12/facebook-gold-rush-why-developers-and-brands-arent-connecting/,9
5660028,stejules,WeGame's 19 Year Old Founder Raises $3 million Financing,Technology,Tech Industry News,"San Francisco based WeGame, a ""YouTube for gamers"" (although it is much more than that) seems to be off to a solid start. Since launching last month, founder Jared Kim says 7,000 videos have been uploaded to the site, and 13% of users are uploading videos. The other 87% are there to watch game videos like this one f",http://www.techcrunch.com/2008/03/12/wegames-19-year-old-founder-raises-3-million-financing/,9
